 main2015 八月 30 11:47:15,257 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.tinyCacheSize: 512
 main2015 八月 30 11:47:15,257 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.smallCacheSize: 256
 main2015 八月 30 11:47:15,258 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.normalCacheSize: 64
 main2015 八月 30 11:47:15,258 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxCachedBufferCapacity: 32768
 main2015 八月 30 11:47:15,259 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.cacheTrimInterval: 8192
 main2015 八月 30 11:47:15,412 DEBUG io.netty.util.internal.ThreadLocalRandom -Dio.netty.initialSeedUniquifier: 0x225b82023d61b5f2 (took 75 ms)
 main2015 八月 30 11:47:15,623 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.allocator.type: unpooled
 IMServer-push-listener2015 八月 30 11:47:15,623 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.threadLocalDirectBufferSize: 65536
 IMServer-push-listener2015 八月 30 11:47:15,729 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port:9966
 main2015 八月 30 11:47:16,431 DEBUG io.netty.util.NetUtil Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
 IMServer-push-listener2015 八月 30 11:47:16,436 DEBUG io.netty.util.NetUtil \proc\sys\net\core\somaxconn: 200 (non-existent)
 IMServer-push-listener2015 八月 30 11:47:16,456 INFO  org.ddpush.im.v1.node.pushlistener.NettyPushListener Netty TCP Push Listener nio provider: io.netty.bootstrap.ServerBootstrap with 3 workers
 IMServer-push-listener2015 八月 30 11:47:38,956 DEBUG io.netty.util.internal.logging.InternalLoggerFactory Using SLF4J as the default logging framework
 main2015 八月 30 11:47:39,051 DEBUG io.netty.channel.MultithreadEventLoopGroup -Dio.netty.eventLoopThreads: 8
 main2015 八月 30 11:47:39,113 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Buffer.address: available
 main2015 八月 30 11:47:39,115 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.theUnsafe: available
 main2015 八月 30 11:47:39,116 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.copyMemory: available
 main2015 八月 30 11:47:39,117 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Bits.unaligned: true
 main2015 八月 30 11:47:39,119 DEBUG io.netty.util.internal.PlatformDependent Platform: Windows
 main2015 八月 30 11:47:39,121 DEBUG io.netty.util.internal.PlatformDependent Java version: 7
 main2015 八月 30 11:47:39,121 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noUnsafe: false
 main2015 八月 30 11:47:39,122 DEBUG io.netty.util.internal.PlatformDependent sun.misc.Unsafe: available
 main2015 八月 30 11:47:39,123 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noJavassist: false
 main2015 八月 30 11:47:39,129 DEBUG io.netty.util.internal.PlatformDependent Javassist: unavailable
 main2015 八月 30 11:47:39,130 DEBUG io.netty.util.internal.PlatformDependent You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
 main2015 八月 30 11:47:39,131 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.tmpdir: C:\Users\taojiaen\AppData\Local\Temp (java.io.tmpdir)
 main2015 八月 30 11:47:39,134 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.bitMode: 64 (sun.arch.data.model)
 main2015 八月 30 11:47:39,134 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noPreferDirect: false
 main2015 八月 30 11:47:39,261 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.noKeySetOptimization: false
 IMServer-push-listener2015 八月 30 11:47:39,262 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.selectorAutoRebuildThreshold: 512
